,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
Rayo Vallecano,28,38.0,41,530,183,34.5,13.95,4.82,0.07,0.21,3,5
Real Betis,29,38.0,58,540,183,33.9,14.21,4.82,0.10,0.30,3,3
Real Madrid,35,38.0,77,664,253,38.1,17.47,6.66,0.10,0.26,12,14
Real Sociedad,36,38.0,57,470,175,37.2,12.37,4.61,0.10,0.28,8,9
Sevilla,33,38.0,44,438,137,31.3,11.53,3.61,0.09,0.28,5,6
Valencia,27,38.0,46,449,123,27.4,11.82,3.24,0.09,0.33,5,9
Villarreal,33,38.0,71,455,172,37.8,11.97,4.53,0.14,0.37,7,7
Arsenal,25,38.0,67,552,186,33.7,14.53,4.89,0.11,0.34,4,4
Aston Villa,30,38.0,53,483,170,35.2,12.71,4.47,0.11,0.31,0,0
Bournemouth,26,38.0,57,526,178,33.8,13.84,4.68,0.10,0.29,5,6
Brentford,26,38.0,53,405,147,36.3,10.66,3.87,0.11,0.31,8,10
Brighton,28,38.0,51,494,176,35.6,13.00,4.63,0.10,0.27,3,5
Burnley,28,38.0,35,355,118,33.2,9.34,3.11,0.09,0.28,2,2
Chelsea,30,38.0,57,509,166,32.6,13.39,4.37,0.10,0.30,7,8
Crystal Palace,30,38.0,40,442,141,31.9,11.63,3.71,0.07,0.23,8,8
Everton,22,38.0,45,422,142,33.6,11.11,3.74,0.10,0.30,2,2
Fulham,24,38.0,43,481,138,28.7,12.66,3.63,0.08,0.28,5,5
Leeds United,24,38.0,48,477,151,31.7,12.55,3.97,0.09,0.28,6,8
Liverpool,24,38.0,61,588,175,29.8,15.47,4.61,0.10,0.34,1,2
Manchester City,27,38.0,74,595,205,34.5,15.66,5.39,0.12,0.35,3,4
Manchester Utd,27,38.0,66,595,215,36.1,15.66,5.66,0.10,0.29,4,6
Newcastle,26,38.0,53,492,176,35.8,12.95,4.63,0.10,0.27,6,6
Nottingham,31,38.0,47,476,156,32.8,12.53,4.11,0.09,0.28,3,3
Sunderland,29,38.0,38,396,130,32.8,10.42,3.42,0.09,0.26,4,5
Tottenham,31,38.0,47,435,146,33.6,11.45,3.84,0.11,0.32,0,0
West Ham,32,38.0,44,404,142,35.1,10.63,3.74,0.10,0.29,3,3
Wolves,31,38.0,26,369,123,33.3,9.71,3.24,0.06,0.19,3,5
