,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Brest,2,34,34,3056,34.0,58,1.71,160,102,63.8,10,9,15,9,26.5,5,4,1,0,20.0
Le Havre,3,34,34,3060,34.0,44,1.29,141,97,68.8,7,14,13,8,23.5,8,6,2,0,25.0
Lens,2,34,34,3060,34.0,35,1.03,115,80,69.6,22,4,8,12,35.3,6,3,2,1,40.0
Lille,2,34,34,3060,34.0,37,1.09,112,74,67.0,18,7,9,13,38.2,4,2,1,1,33.3
Lorient,2,34,34,3060,34.0,51,1.50,135,84,62.2,11,12,11,7,20.6,6,4,0,2,0.0
Lyon,2,34,34,3060,34.0,40,1.18,132,91,69.7,18,6,10,15,44.1,5,2,3,0,60.0
Marseille,2,34,34,3060,34.0,45,1.32,134,89,66.4,18,5,11,9,26.5,6,5,0,1,0.0
Metz,2,34,34,3060,34.0,76,2.24,197,121,61.4,3,8,23,7,20.6,8,7,1,0,12.5
Monaco,2,34,34,3060,34.0,54,1.59,147,93,63.3,16,6,12,7,20.6,5,4,0,1,0.0
Nantes,2,33,33,2970,33.0,52,1.58,160,108,67.5,5,8,20,7,21.2,5,5,0,0,0.0
Nice,2,34,34,3060,34.0,60,1.76,171,111,64.9,7,11,16,6,17.6,10,8,1,1,11.1
Paris FC,2,34,34,3060,34.0,50,1.47,134,82,62.7,11,11,12,8,23.5,12,8,2,2,20.0
PSG,3,34,34,3060,34.0,29,0.85,104,75,72.1,24,4,6,18,52.9,4,1,2,1,66.7
Rennes,2,34,34,3060,34.0,50,1.47,143,92,65.0,17,8,9,10,29.4,6,4,2,0,33.3
Strasbourg,2,34,34,3060,34.0,47,1.38,156,109,69.9,15,8,11,9,26.5,5,4,1,0,20.0
Toulouse,2,33,33,2970,33.0,46,1.39,131,85,64.9,12,8,13,9,27.3,5,5,0,0,0.0
Alavés,1,38,38,3420,38.0,56,1.47,153,97,63.4,11,10,17,5,13.2,5,5,0,0,0.0
Athletic Club,2,38,38,3420,38.0,58,1.53,159,101,63.5,13,6,19,6,15.8,6,3,2,1,40.0
Atlético Madrid,2,38,38,3420,38.0,44,1.16,141,97,68.8,21,6,11,14,36.8,6,5,0,1,0.0
Barcelona,2,38,38,3420,38.0,36,0.95,132,96,72.7,31,1,6,15,39.5,5,4,1,0,20.0
Celta Vigo,1,38,38,3420,38.0,48,1.26,159,111,69.8,14,12,12,10,26.3,11,6,2,3,25.0
Elche,2,38,38,3420,38.0,57,1.50,176,119,67.6,10,13,15,8,21.1,7,6,0,1,0.0
Espanyol,2,38,38,3420,38.0,55,1.45,190,135,71.1,12,10,16,10,26.3,5,5,0,0,0.0
Getafe,1,38,38,3420,38.0,38,1.00,154,115,75.3,15,6,17,12,31.6,4,1,2,1,66.7
Girona,3,38,38,3418,38.0,55,1.45,178,123,69.1,9,14,15,6,15.8,6,5,0,1,0.0
Levante,2,38,38,3420,38.0,61,1.61,196,135,68.9,11,9,18,9,23.7,4,3,1,0,25.0
Mallorca,2,38,38,3420,38.0,57,1.50,171,114,66.7,11,9,18,6,15.8,8,6,1,1,14.3
Osasuna,2,38,38,3420,38.0,50,1.32,172,122,70.9,11,9,18,7,18.4,9,9,0,0,0.0
Oviedo,2,38,38,3420,38.0,60,1.58,209,149,71.3,6,11,21,10,26.3,7,5,2,0,28.6
Rayo Vallecano,2,38,38,3420,38.0,44,1.16,154,110,71.4,12,14,12,12,31.6,8,6,2,0,25.0
Real Betis,3,38,38,3420,38.0,48,1.26,170,122,71.8,15,15,8,10,26.3,7,4,2,1,33.3
Real Madrid,2,38,38,3420,38.0,35,0.92,121,86,71.1,27,5,6,14,36.8,4,4,0,0,0.0
Real Sociedad,2,38,38,3420,38.0,61,1.61,167,106,63.5,11,13,14,3,7.9,5,5,0,0,0.0
Sevilla,2,38,38,3420,38.0,60,1.58,159,99,62.3,12,7,19,6,15.8,11,9,1,1,10.0
Valencia,2,38,38,3420,38.0,55,1.45,160,104,65.6,13,10,15,9,23.7,8,6,1,1,14.3
Villarreal,2,38,38,3420,38.0,46,1.21,148,102,68.9,22,6,10,8,21.1,8,7,1,0,12.5
Arsenal,2,38,38,3420,38.0,27,0.71,89,61,69.7,26,7,5,19,50.0,0,0,0,0,
Aston Villa,2,38,38,3420,38.0,49,1.29,163,114,69.9,19,8,11,9,23.7,2,1,1,0,50.0
Bournemouth,1,38,38,3420,38.0,54,1.42,163,109,66.9,13,18,7,11,28.9,6,6,0,0,0.0
Brentford,2,38,38,3420,38.0,52,1.37,158,106,67.1,14,11,13,10,26.3,8,5,3,0,37.5
Brighton,1,38,38,3420,38.0,46,1.21,151,103,69.5,14,11,13,10,26.3,6,5,1,0,16.7
Burnley,2,38,38,3420,38.0,75,1.97,212,137,64.6,4,10,24,4,10.5,8,7,0,1,0.0
Chelsea,2,38,38,3418,38.0,54,1.42,160,105,66.3,14,10,14,9,23.7,2,2,0,0,0.0
Crystal Palace,2,38,38,3420,38.0,51,1.34,159,107,67.9,11,12,15,12,31.6,7,5,1,1,16.7
Everton,1,38,38,3420,38.0,50,1.32,149,99,66.4,13,10,15,11,28.9,4,3,1,0,25.0
Fulham,1,38,38,3420,38.0,51,1.34,149,98,65.8,15,7,16,9,23.7,4,3,0,1,0.0
Leeds United,2,38,38,3420,38.0,56,1.47,157,101,64.3,11,14,13,8,21.1,6,6,0,0,0.0
Liverpool,3,38,38,3420,38.0,53,1.39,152,99,65.1,17,9,12,10,26.3,4,3,1,0,25.0
Manchester City,2,38,38,3420,38.0,35,0.92,126,89,72.2,23,9,6,16,42.1,2,1,1,0,50.0
Manchester Utd,2,38,38,3420,38.0,50,1.32,142,91,64.8,20,11,7,8,21.1,4,4,0,0,0.0
Newcastle,2,38,38,3420,38.0,55,1.45,168,113,67.3,14,7,17,8,21.1,5,5,0,0,0.0
Nottingham,4,38,38,3420,38.0,51,1.34,158,107,67.7,11,11,16,9,23.7,6,5,1,0,16.7
Sunderland,2,38,38,3420,38.0,48,1.26,166,118,71.1,14,12,12,11,28.9,3,2,1,0,33.3
Tottenham,2,38,38,3420,38.0,57,1.50,150,93,62.0,10,11,17,9,23.7,3,3,0,0,0.0
West Ham,2,38,38,3420,38.0,65,1.71,195,129,66.7,10,9,19,7,18.4,7,6,0,1,0.0
Wolves,3,38,38,3420,38.0,68,1.79,179,111,62.0,3,11,24,4,10.5,5,5,0,0,0.0
