"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
490;"Jonas Adjetey";"Wolfsburg";4;134;0;0;0.09;0;0.06;0
491;"Mathis Albert";"Borussia Dortmund";1;1;0;0;0;0;0;0
492;"Christian Conteh";"FC Heidenheim";9;398;0;0;0.13;1.38;0.03;0.31
493;"Uchenna Ogundu";"Augsburg";5;33;0;0;0.16;0;0.43;0
494;"Rouven Tarnutzer";"Freiburg";1;4;0;0;0;0;0;0
495;"Maycon Douglas Cardozo";"Bayern Munich";2;31;0;0;0;0;0;0
496;"Erblin Osmani";"Bayern Munich";1;2;0;0;0;0;0;0
497;"Shafiq Nandja";"Hamburger SV";2;12;0;0;0;0;0;0
498;"Linus Güther";"Union Berlin";1;4;0;0;0;0;0;0
499;"Bara Sapoko Ndiaye";"Bayern Munich";4;146;0;0;0;0;0;0
